volunteer_name, volunteer_id,volunteer_zipcode,volunteer_available_days,volunteer_interests_1,volunteer_interests_2,volunteer_interests_3,volunteer_interests_4,volunteer_interests_5,volunteer_interests_6,volunteer_interests_7,volunteer_interests_8,,,,,,,,,,,
Saul Ishiguro,1976876,90011,Wednesday;Tuesday;Saturday,Data Entry & Research, IT Support, Helpline Support, Mediation & Conflict Resolution,,,,,,,,,,,,,,,
Kofi Mahfouz,1977877,80205,Thursday;Monday;Saturday,Mediation & Conflict Resolution,,,,,,,,,,,,,,,,,,
Alice Kadaran,1978878,80205,Friday,Data Entry & Research, IT Support, Helpline Support, Volunteer Coordination,,,,,,,,,,,,,,,
Rigoberta Bellow,1979879,80205,Thursday,Data Entry & Research, IT Support, Helpline Support,,,,,,,,,,,,,,,,
Toni Yousafzai,1980880,10027,Thursday;Wednesday;Saturday,Textile Arts & Sewing, Environment & Sustainability, Wellness & Mental Health Support,,,,,,,,,,,,,,,,
Haruki Mahfouz,1981881,30318,Thursday,Textile Arts & Sewing, Environment & Sustainability, Wellness & Mental Health Support,,,,,,,,,,,,,,,,
Herta Ishiguro,1982882,30318,Sunday;Monday,Mechanics & Repairs, Environment & Sustainability,,,,,,,,,,,,,,,,,
Kofi Pamuk,1983883,33101,Wednesday;Saturday;Friday,Arts Education, Environment & Sustainability, Mediation & Conflict Resolution,,,,,,,,,,,,,,,,
Kenzaburo Tagore,1984884,90011,Tuesday;Wednesday;Monday,Newsletter or Social Media Design, Call Center & Helpline Support,,,,,,,,,,,,,,,,,
Kazuo Tagore,1985885,33101,Saturday;Wednesday,Mediation & Conflict Resolution, Civic Engagement, Mutual Aid & Food Distribution,,,,,,,,,,,,,,,,
Orhan Lessing,1986886,94110,Saturday;Sunday,Newsletter or Social Media Design, Call Center & Helpline Support,,,,,,,,,,,,,,,,,
Herta Mahfouz,1987887,60640,Tuesday;Sunday;Thursday,Mechanics & Repairs, Gardening, Woodworking, Oral History & Story Collection,,,,,,,,,,,,,,,
Amartya Mahfouz,1988888,80205,Wednesday;Monday;Tuesday,Citizenship Preparation, ESL Support, Voter Registration,,,,,,,,,,,,,,,,
Naguib Tagore,1989889,30303,Tuesday,STEM Mentorship, ESL Support, College Access Support, Youth Tutoring,,,,,,,,,,,,,,,
Toni Oe,1990890,75217,Thursday;Tuesday;Wednesday,Oral History & Story Collection, Resume Writing, Art History, Wellness & Mental Health Support,,,,,,,,,,,,,,,
Kazuo Munro,1991891,19143,Saturday;Friday,Data Entry & Research, IT Support, Helpline Support, Volunteer Coordination,,,,,,,,,,,,,,,
Ismail Oe,1992892,10027,Tuesday,STEM Mentorship, ESL Support, College Access Support, Youth Tutoring,,,,,,,,,,,,,,,
Toni Saramago,1993893,33101,Tuesday,Mediation & Conflict Resolution, Civic Engagement, Mutual Aid & Food Distribution,,,,,,,,,,,,,,,,
Malala Murakami,1994894,33101,Thursday,Arts Education, Environment & Sustainability,,,,,,,,,,,,,,,,,
Saul Saramago,1995895,19104,Friday;Monday,Composting & Food Waste, Gardening, Woodworking, Animal Care,,,,,,,,,,,,,,,
Herta Menchot,1996896,80205,Wednesday;Monday;Sunday,Environment & Sustainability, Composting & Food Waste,,,,,,,,,,,,,,,,,
Marie Yunus,1997897,80205,Saturday;Wednesday;Friday,Composting & Food Waste, Gardening, Woodworking, Animal Care,,,,,,,,,,,,,,,
Jack Lessing,1998898,80205,Wednesday;Saturday;Friday,Youth Tutoring & Mentorship, Arts Education, ESL Support, STEM Mentorship,,,,,,,,,,,,,,,
Herta Maathai,1999899,80205,Sunday;Friday;Monday,Mediation & Conflict Resolution, Civic Engagement, Voter Registration,,,,,,,,,,,,,,,,
Shirin Lessing,2000900,19104,Wednesday,STEM Mentorship, ESL Support, College Access Support, Youth Tutoring,,,,,,,,,,,,,,,
Svetlana Morrison,2001901,94110,Monday,Senior Care, Child Care, Grant Writing Support,,,,,,,,,,,,,,,,
Elie Alexievich,2002902,10027,Saturday,Textile Arts & Sewing, Environment & Sustainability, Wellness & Mental Health Support, Senior Care, Child Care, Grant Writing Support, Composting & Food Waste, Gardening, Woodworking,,,,,,,,,,
